"","phone_name","counts","X","电商报价","屏幕类型","出厂系统内核","CPU型号","机身颜色","解锁方式","触摸屏类型","主屏尺寸","主屏材质","主屏分辨率","屏幕像素密度","屏幕占比","屏幕技术","核心数","RAM容量","ROM容量","电池容量","电池充电","SIM卡类型","机身接口","摄像头总数","后置摄像头","前置摄像头","光圈","手机尺寸","手机重量","操作类型"
"11","OPPO R17（雾光渐变色/8GB RAM/全网通）",294,316,"￥2999|￥3499","","ColorOS 5.2（基于Android 8.1）","高通 骁龙670|手机性能排行","雾光渐变色|查看外观","屏幕指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|（击败|99.71%|手机）","第六代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3500mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/2.0","157.5x74.9x7.5mm","182g",""
"12","OPPO R17 Pro（6GB RAM/全网通）",219,145,"￥3699|￥3999","全面屏（水滴屏）","Android 8.1","高通 骁龙710|手机性能排行","雾光渐变色，凝光绿|查看外观","屏幕指纹识别|，|面部识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|全面屏（水滴屏）（击败|99.71%|手机）|更多水滴屏手机＞","第六代康宁大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3700mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","四摄像头（后三）","2000万像素+1200万像素+TOF 3D 立体摄像头|高清级像素|样张秀|，|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.5+f/2.4，前置f/2.0","157.6x74.6x7.9mm","183g","虚拟按键"
"13","OPPO R17新年特别版（全网通）",320,118,"￥2799","","ColorOS 5.2（基于Android 8.1）","高通 骁龙670|手机性能排行","中国红|查看外观","屏幕指纹识别","电容屏，多点触控","6.4英寸|需双手打字|更多6.4英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.5%|（击败|99.71%|手机）","第六代康宁大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3500mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","1600万像素+500万像素|高清级像素|高清像素手机","2500万像素|高清级像素|高像素自拍手机","后置f/1.7+f/2.4，前置f/2.0","157.5x74.9x7.5mm","182g","虚拟按键"
"14","vivo iQOO（6GB RAM/全网通）",5453,17,"￥2998|￥3199","全面屏（水滴屏）","Android 9.0","高通 骁龙855|手机性能排行","电光蓝，熔岩橙|查看外观","屏幕指纹识别","电容屏，多点触控","6.41英寸|需双手打字|更多6.41英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.7%|全面屏（水滴屏）（击败|99.77%|手机）|更多水滴屏手机＞","On-Cell全贴合技术|，|康宁大猩猩玻璃","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","四摄像头（后三）","1200万像素+1300万像素+200万像素|高清级像素|样张秀|，|高清像素手机","1200万像素|高清级像素|高像素自拍手机","","157.69x75.2x8.51mm","196g","虚拟按键"
"15","vivo iQOO（8GB RAM/全网通）",5821,10,"￥3298|￥3498","全面屏（19.5:9水滴屏）","Android 9.0","高通 骁龙855|手机性能排行","电光蓝，熔岩橙|查看外观","屏幕指纹识别","电容屏，多点触控","6.41英寸|需双手打字|更多6.41英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.7%|全面屏（19.5:9水滴屏）（击败|99.77%|手机）","On-Cell全贴合技术|，|康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB/256GB|2.6万张照片|1.1万首歌曲","4000mAh（30分钟充电87%）|大电池","续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","四摄像头（后三）","1200万像素+1300万像素+200万像素|高清级像素|样张秀|，|高清像素手机","1200万像素|高清级像素|高像素自拍手机","","157.69x75.2x8.51mm","196g","虚拟按键"
"16","vivo NEX（6GB RAM/全网通）",6986,393,"￥3698|￥3300","","Funtouch OS 4.0（基于Android 8.1）","高通 骁龙710|手机性能排行","宝石红，星钻黑，星迹版|查看外观","后置指纹识别","电容屏，多点触控","6.59英寸|需双手打字|更多6.59英寸手机＞","Super AMOLED","2316x1080像素|1080P高清（击败|98.2%|手机）","388ppi","91.24%|（击败|99.63%|手机）","On-Cell全贴合技术","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","4000mAh（30分钟充电52%）|大电池","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","2x1200万像素（2400万感光单元）+500万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.8+f/2.4，前置f/2.0","162x77x7.98mm","约199g","虚拟按键"
"17","vivo NEX（8GB RAM/全网通）",476,408,"￥3998","","Funtouch OS 4.0（基于Android 8.1）","高通 骁龙710|手机性能排行","宝石红，星钻黑|查看外观","屏幕指纹识别","电容屏，多点触控","6.59英寸|需双手打字|更多6.59英寸手机＞","Super AMOLED","2316x1080像素|1080P高清（击败|98.2%|手机）","388ppi","91.24%|（击败|99.63%|手机）","On-Cell全贴合技术","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","2x1200万像素（2400万感光单元）+500万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.8+f/2.4，前置f/2.0","162x77x7.98mm","约199g","虚拟按键"
"18","vivo X20（全网通）",5628,759,"￥2598|￥2598","","Funtouch OS 3.2（基于Android 7.1）","高通 骁龙660|手机性能排行","磨砂黑，黑金色，梦幻粉，红黑，vivo蓝，金色，玫瑰金，星耀红|查看外观","后置指纹识别|，|面部识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","Super AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","85.3%|（击败|98.95%|手机）","On-Cell全贴合技术","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","3245mAh（30分钟充电54%）|小电池","续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","主摄2x1200万像素（2400万感光单元）+副摄500万像素|高清级像素|样张秀|，|高清像素手机","2x1200万像素（2400万感光单元）|高清级像素|高像素自拍手机","后置f/1.8 f/2.4","155.85x75.15x7.2mm","159g","虚拟按键"
"19","vivo X20Plus（全网通）",2089,765,"￥3198|￥2798","","Funtouch OS 3.2（基于Android 7.1）","高通 骁龙660|手机性能排行","磨砂黑，玫瑰金，金色|查看外观","后置指纹识别","电容屏，多点触控","6.43英寸|需双手打字|更多6.43英寸手机＞","Super AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","376ppi","86.11%|（击败|99.04%|手机）","On-Cell全贴合技术","八核","4GB|游戏运行一般","64GB/128GB|1.3万张照片|5461首歌曲","3905mAh（30分钟充电61%）|大电池|大电池手机","续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","主摄2x1200万像素（2400万感光单元）+副摄500万像素|高清级像素|样张秀|，|高清像素手机","2x1200万像素（2400万感光单元）|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","165.32x80.09x7.45mm","181.5g","虚拟按键"
"20","vivo X23（全网通）",1469,245,"￥3198|￥3198","全面屏（19.5:9水滴屏）","Android 8.1","高通 骁龙670AIE|手机性能排行","幻夜蓝，魅影紫，幻影红，星芒版|查看外观","屏幕指纹识别|，|面部识别","电容屏，多点触控","6.41英寸|需双手打字|更多6.41英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","402ppi","91.2%|全面屏（19.5:9水滴屏）（击败|99.61%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","3400mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","1200万像素+1300万像素|高清级像素|样张秀|，|高清像素手机","1200万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","157.68x74.06x7.47mm|魅影紫：157.68x74.06x7.54mm","160.5","虚拟按键"
"21","vivo X23幻彩版（6GB RAM/全网通）",3243,153,"￥2798","全面屏（19.5:9水滴屏）","Funtouch OS 4.5（基于Android 8.1）","高通 骁龙660AIE|手机性能排行","星夜海洋，北极晨曦，星语新愿|查看外观","屏幕指纹识别|，|面部识别","电容屏，多点触控","6.41英寸|需双手打字|更多6.41英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","401ppi","91.2%|全面屏（19.5:9水滴屏）（击败|99.61%|手机）","On-Cell全贴合技术","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3500mAh（30分钟充电50%）|大电池|大电池手机","快速快充|续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB接口","三摄像头（后双）","双核1200万像素+1300万像素|高清级像素|高清像素手机","2480万像素|高清级像素|高像素自拍手机","后置f/1.78+f/2.4，前置f/2.0","157.6x75.4x7.1mm","162","虚拟按键"
"22","vivo X27（8GB RAM/骁龙675/全网通）",1695,11,"￥3198","全面屏（19.5:9全面屏）","Android 9.0","高通 骁龙675|手机性能排行","雀羽蓝，粉黛金，翡翠色|查看外观","屏幕指纹识别","电容屏，多点触控","6.39英寸|需双手打字|更多6.39英寸手机＞","Super AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","400ppi","91.6%|全面屏（19.5:9全面屏）（击败|99.73%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","四摄像头（后三）","4800万像素+1300万像素+500万像素|高清级像素|样张秀|，|高清像素手机","1600万像素|高清级像素|高像素自拍手机","F/2.09（前置），F/1.79（后置主摄），F/2.2（后置广角），F/2.48（后置副摄）","157.66x74.26x8.95mm","188.3g","虚拟按键"
"23","铂爵V7（全网通）",102,1034,"￥3899","","YunOS","","爵士黑|查看外观","后置指纹识别","电容屏，多点触控","5.5英寸|可单手打字|更多5.5英寸手机＞","TFT","1280x720像素|720P普清（击败|86.87%|手机）","267ppi","73.06%|（击败|94.18%|手机）","","四核","3GB|游戏运行卡顿","32GB|6553张照片|2730首歌曲","","","双卡","","三摄像头（后双）","1300万像素|高清级像素|高清像素手机","500万像素|普通级像素|高像素自拍手机","","","",""
"24","锤子科技坚果R1（8GB RAM/全网通）",5360,451,"￥2989|￥4779","","Smartisan OS（基于Android）","高通 骁龙845|手机性能排行","碳黑色，纯白色，孔雀蓝|查看外观","后置指纹识别|，|面部识别","电容屏，多点触控","6.17英寸|需双手打字|更多6.17英寸手机＞","LTPS","2240x1080像素|1080P高清（击败|98.2%|手机）","403ppi","84.12%|（击败|98.73%|手机）","第三代康宁大猩猩玻璃","八核","8GB|游戏运行流畅","128GB/1TB|20.5万张照片|8.5万首歌曲","3600mAh|大电池|大电池手机","无线快充|快速快充","双卡|，|Nano SIM卡","USB Type-C接口","三摄像头（后双）","1200万像素+2000万像素|高清级像素|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置：主f/1.8+副f/1.75，前置f/2.0","153.3x74.5x7.9mm","170g","虚拟按键"
"25","海信双屏手机A6（全网通）",3188,228,"￥3499","","Android O","高通 骁龙660|手机性能排行","睿黑|查看外观","侧面指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","77.84%|（击败|97.05%|手机）","On-Cell全贴合技术","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","3300mAh（30分钟充电51%）|大电池|大电池手机","快速快充|续航测试","双卡|，|Nano SIM卡","USB Type-C接口","双摄像头（前后）","1200万像素|高清级像素|高清像素手机","1600万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","158.2x75.7x8.35mm","185g","虚拟按键"
"26","黑莓KEY2",2059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","黑莓KEYone（4GB RAM/精英版/全网通）",3250,589,"￥3699","","Android 7.1","高通 骁龙625（MSM8953）|手机性能排行","棕榈金|查看外观","前置指纹识别","电容屏，多点触控","4.5英寸|可单手打字|更多4.5英寸手机＞","TFT材质（IPS技术）","1620x1080像素|1080P高清（击败|98.2%|手机）","433ppi","55.7%|（击败|74.19%|手机）","超灵敏触摸|，第四代康宁大猩猩玻璃","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","3505mAh|大电池|大电池手机","快速快充","单卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","双摄像头（前后）","1200万像素|高清级像素|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/2.0，前置f/2.2","149.3x72.5x9.4mm","183g","QWERTY全键盘"
"28","黑鲨游戏手机2（6GB RAM/全网通）",4482,13,"￥3199","全面屏（19.5:9常规全面屏）","","高通 骁龙855|手机性能排行","暗影黑|查看外观","屏幕指纹识别|，|面部识别","电容屏，多点触控","6.39英寸|需双手打字|更多6.39英寸手机＞","AMOLED","2340x1080像素|1080P高清（击败|98.2%|手机）","403ppi","81.69%|全面屏（19.5:9常规全面屏）（击败|98.14%|手机）","","八核","6GB|游戏运行良好","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","4800万像素+1300万像素长焦镜头|高清级像素|样张秀|，|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.75+f/2.2，前置f/2.0","163.61x75.01x8.77mm","205g","虚拟按键"
"29","黑鲨游戏手机Helo（8GB RAM/全网通）",2665,227,"￥3199|￥3659","","","高通 骁龙845|手机性能排行","极夜黑|查看外观","后置指纹识别","电容屏，多点触控","6.01英寸|需双手打字|更多6.01英寸手机＞","AMOLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","77.42%|（击败|96.92%|手机）","","八核","8GB|游戏运行流畅","128GB|2.6万张照片|1.1万首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","三摄像头（后双）","2000万像素+1200万像素|高清级像素|高清像素手机","2000万像素|高清级像素|高像素自拍手机","后置f/1.75+f/1.75，前置f/2.2","160x75.25x8.7mm","190g","虚拟按键"
"30","华为Mate 10（4GB RAM/全网通）",7602,731,"￥3399|￥3399","","EMUI 8.0（基于Android 8.0）","海思 Kirin 970|手机性能排行","香槟金，亮黑色，樱粉金，摩卡金|查看外观","前置指纹识别","电容屏，多点触控","5.9英寸|可单手打字|更多5.9英寸手机＞","TFT材质","2560x1440像素|2K超清（击败|99.81%|手机）","498ppi","81.95%|（击败|98.23%|手机）","","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","4000mAh（30分钟充电60%）|大电池","快速快充|续航测试","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","2000万像素+1200万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.6+f/1.6，前置f/2.0","150.5x77.8x8.2mm","186g","触控按键"
"31","华为Mate 10 Pro（全网通）",1241,699,"￥3099|￥3599","","EMUI 8.0（基于Android 8.0）","海思 Kirin 970|手机性能排行","银钻灰，摩卡金，宝石蓝，樱粉金|查看外观","后置指纹识别","电容屏，多点触控","6英寸|需双手打字|更多6英寸手机＞","OLED","2160x1080像素|1080P高清（击败|98.2%|手机）","402ppi","80.88%|（击败|97.89%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","USB Type-C接口","","1200万像素+2000万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/1.6+f/1.6，前置f/2.0","154.2x74.5x7.9mm","178g","虚拟按键"
"32","华为Mate 20（全网通）",5821,195,"￥3499|￥3500","全面屏（水滴屏）","Android 9.0","海思 Kirin 980|手机性能排行","翡冷翠，极光色，樱粉金，宝石蓝，亮黑色|查看外观","后置指纹识别","电容屏，多点触控（十点）","6.53英寸|需双手打字|更多6.53英寸手机＞","TFT LCD（IPS）","2244x1080像素|1080P高清（击败|98.2%|手机）","381ppi","88.07%|全面屏（水滴屏）（击败|99.18%|手机）|更多水滴屏手机＞","全贴合","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","4000mAh（30分钟充电55%）|大电池","快速快充|续航测试","","USB Type-C接口","四摄像头（后三）","1200万像素+1600万像素+800万像素|高清级像素|样张秀|，|高清像素手机","2400万像素|高清级像素|高像素自拍手机","后置f/1.8+f/2.2+f/2.4，前置f/2.0","158.2x77.2x8.3mm","188g","虚拟按键"
"33","华为Mate 9 Pro（4GB RAM/全网通）",245,1055,"￥3000|￥2799","","EMUI 5.0（基于Android 7.0）","海思 kirin 960|手机性能排行","灰色，玫瑰金，琥珀金|查看外观","前置指纹识别","电容屏，多点触控","5.5英寸|可单手打字|更多5.5英寸手机＞","AMOLED","2560x1440像素|2K超清（击败|99.81%|手机）","534ppi","73.15%|（击败|94.3%|手机）","","八核","4GB|游戏运行一般","64GB|1.3万张照片|5461首歌曲","4000mAh|大电池","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","三摄像头（后双）","2000万像素+1200万像素|高清级像素|样张秀|，|高清像素手机","800万像素|普通级像素|高像素自拍手机","后置f/2.2，前置f/1.9","152x75x7.5mm","169g","触控按键"
"34","华为nova 3（全网通）",6466,365,"￥2599|￥2599","全面屏（19.5:9刘海屏）","Android 8.1","海思 Kirin 970|手机性能排行","亮黑色，浅艾蓝，蓝楹紫，樱草金，相思红|查看外观","后置指纹识别","电容屏，多点触控","6.3英寸|需双手打字|更多6.3英寸手机＞","TFT材质（IPS技术）","2340x1080像素|1080P高清（击败|98.2%|手机）","409ppi","84.21%|全面屏（19.5:9刘海屏）（击败|98.78%|手机）","","八核","6GB|游戏运行良好","64GB/128GB|1.3万张照片|5461首歌曲","3750mAh|大电池|大电池手机","快速快充","双卡|，|Nano SIM卡","3.5mm耳机接口|USB Type-C接口","四摄像头","彩色1600万像素+黑白2400万像素|高清级像素|样张秀|，|高清像素手机","彩色2400万像素+彩色200万像素|高清级像素|高像素自拍手机","后置f/1.8，前置f/2.0","157x73.7x7.3mm","166g",""
